Subject Code	Course Number	Class Number	Associated Class Number	Days	Start Time	End Time	Room	Instructor(s)	instructor_pittid	Ta(s)	Type	Session	Writing	Enrollment Cap	Current Enrollment	Current Waitlist	cross_list_id	Notes	Description	deleted	Academic Term Code	last_modified
CS	2910	25798	1150	ByAppt	12:00 am	12:00 am	TBA	TBD			DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25799	1160	ByAppt	12:00 am	12:00 am	TBA	TBD			DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25800	1170	ByAppt	12:00 am	12:00 am	TBA	Y. Zhang	youtao		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25801	1180	ByAppt	12:00 am	12:00 am	TBA	S. Hwang	sjh95		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25802	1190	ByAppt	12:00 am	12:00 am	TBA	TBD			DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25803	1200	ByAppt	12:00 am	12:00 am	TBA	TBD			DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25804	1205	ByAppt	12:00 am	12:00 am	TBA	TBD			DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25805	1210	ByAppt	12:00 am	12:00 am	TBA	TBD			DIR	AT								0	2214	2020-10-28 11:42:18
CS	2990	25833	1010	ByAppt	12:00 am	12:00 am	TBA	S. Lee	stl86		IND	AT								0	2214	2020-10-28 11:42:18
CS	2990	25834	1020	ByAppt	12:00 am	12:00 am	TBA	S. Chang	schang		IND	AT								0	2214	2020-10-28 11:42:18
CS	2990	25835	1030	ByAppt	12:00 am	12:00 am	TBA	B. Childers	childers		IND	AT								0	2214	2020-10-28 11:42:18
CS	2990	25836	1040	ByAppt	12:00 am	12:00 am	TBA	P. Chrysanthis	panos		IND	AT								0	2214	2020-10-28 11:42:18
CS	2990	25837	1050	ByAppt	12:00 am	12:00 am	TBA	M. Hauskrecht	milos		IND	AT								0	2214	2020-10-28 11:42:18
CS	2990	25838	1060	ByAppt	12:00 am	12:00 am	TBA	X. Tang	tax6		IND	AT								0	2214	2020-10-28 11:42:18
CS	2990	25839	1070	ByAppt	12:00 am	12:00 am	TBA	A. Kovashka	aik85		IND	AT								0	2214	2020-10-28 11:42:18
CS	2990	25840	1080	ByAppt	12:00 am	12:00 am	TBA	A. Labrinidis	labrinid		IND	AT								0	2214	2020-10-28 11:42:18
CS	2990	25841	1090	ByAppt	12:00 am	12:00 am	TBA	J. Lange	jlange		IND	AT								0	2214	2020-10-28 11:42:18
CS	2990	25842	1100	ByAppt	12:00 am	12:00 am	TBA	A. Lee	adamlee		IND	AT								0	2214	2020-10-28 11:42:18
CS	2990	25843	1110	ByAppt	12:00 am	12:00 am	TBA	D. Litman	dlitman		IND	AT								0	2214	2020-10-28 11:42:18
